route_id,recorded_at,distance
100057,2020-02-20 05:49:25+00,376573.06
100057,2020-02-20 05:49:11+00,376573.06
100057,2020-02-20 05:48:58+00,376564.13
100057,2020-02-20 05:48:44+00,376560.63
100057,2020-02-20 05:48:30+00,376560.63
100057,2020-02-20 05:48:16+00,376560.63
100057,2020-02-20 05:48:03+00,376549.78
100057,2020-02-20 05:47:50+00,376545
100057,2020-02-20 05:47:36+00,376544.94
100057,2020-02-20 05:47:22+00,376531.6
100057,2020-02-20 05:47:09+00,376531.56
100057,2020-02-20 05:46:57+00,376527.7
100057,2020-02-20 05:46:42+00,376464.22
100057,2020-02-20 05:46:29+00,376373.63
100057,2020-02-20 05:46:14+00,376275.38
100057,2020-02-20 05:46:00+00,376172.8
100057,2020-02-20 05:45:46+00,376045.84
100057,2020-02-20 05:45:32+00,375914.34
100057,2020-02-20 05:45:17+00,375810.5
100057,2020-02-20 05:45:04+00,375715.3
100057,2020-02-20 05:44:50+00,375680.63
100057,2020-02-20 05:44:36+00,375645.6
100057,2020-02-20 05:44:22+00,375613.78
100057,2020-02-20 05:44:07+00,375579.13
100057,2020-02-20 05:43:55+00,375543.16
100057,2020-02-20 05:43:39+00,375511.1
100057,2020-02-20 05:43:25+00,375480.22
100057,2020-02-20 05:43:13+00,375449.56
100057,2020-02-20 05:43:00+00,375423
100057,2020-02-20 05:42:43+00,375372.84
100057,2020-02-20 05:42:30+00,375353.1
100057,2020-02-20 05:42:17+00,375341.1
100057,2020-02-20 05:42:02+00,375305.13
100057,2020-02-20 05:41:49+00,375269.03
100057,2020-02-20 05:41:35+00,375093.16
100057,2020-02-20 05:41:21+00,374915.47
100057,2020-02-20 05:41:08+00,374710.47
100057,2020-02-20 05:40:55+00,374518.97
100057,2020-02-20 05:40:41+00,374364.75
100057,2020-02-20 05:40:29+00,374267.97
100057,2020-02-20 05:40:14+00,374250.7
100057,2020-02-20 05:39:59+00,374250.7
100057,2020-02-20 05:39:46+00,374250.7
100057,2020-02-20 05:39:32+00,374250.7
100057,2020-02-20 05:39:17+00,374244.13
100057,2020-02-20 05:39:03+00,374180.3
100057,2020-02-20 05:38:48+00,374085.97
100057,2020-02-20 05:38:34+00,373901.66
100057,2020-02-20 05:38:21+00,373718.1
100057,2020-02-20 05:38:07+00,373587.8
100057,2020-02-20 05:37:53+00,373547.97
100057,2020-02-20 05:37:37+00,373547.97
100057,2020-02-20 05:37:26+00,373547.97
100057,2020-02-20 05:37:12+00,373543.44
100057,2020-02-20 05:36:58+00,373427.9
100057,2020-02-20 05:36:43+00,373237.7
100057,2020-02-20 05:36:28+00,372994
100057,2020-02-20 05:36:15+00,372747
100057,2020-02-20 05:36:01+00,372541.22
100057,2020-02-20 05:35:47+00,372268
100057,2020-02-20 05:35:33+00,371985.66
100057,2020-02-20 05:35:18+00,371707.9
100057,2020-02-20 05:35:04+00,371473.7
100057,2020-02-20 05:34:50+00,371281.53
100057,2020-02-20 05:34:35+00,371178.72
100057,2020-02-20 05:34:21+00,371154.97
100057,2020-02-20 05:34:08+00,370933.34
100057,2020-02-20 05:33:54+00,370680.28
100057,2020-02-20 05:33:39+00,370466.72
100057,2020-02-20 05:33:27+00,370320.1
100057,2020-02-20 05:33:19+00,370275.28
100057,2020-02-20 05:33:09+00,370267.94
100057,2020-02-20 05:07:10+00,370267.94
100057,2020-02-20 05:06:57+00,370267.94
100057,2020-02-20 05:06:42+00,370267.94
100057,2020-02-20 05:06:29+00,370267.94
100057,2020-02-20 05:06:14+00,370267.94
100057,2020-02-20 05:06:00+00,370267.94
100057,2020-02-20 05:05:46+00,370267.94
100057,2020-02-20 05:05:30+00,370267.94
100057,2020-02-20 05:05:16+00,370267.94
100057,2020-02-20 05:05:01+00,370267.94
100057,2020-02-20 05:04:47+00,370267.94
100057,2020-02-20 05:04:32+00,370267.78
100057,2020-02-20 05:04:18+00,370267.34
100057,2020-02-20 05:04:04+00,370267.34
100057,2020-02-20 05:03:50+00,370267.34
100057,2020-02-20 05:03:36+00,370267.34
100057,2020-02-20 05:03:22+00,370267.34
100057,2020-02-20 05:03:08+00,370267.34
100057,2020-02-20 05:02:54+00,370267.34
100057,2020-02-20 05:02:41+00,370267.34
100057,2020-02-20 05:02:28+00,370267.34
100057,2020-02-20 05:02:13+00,370267.34
100057,2020-02-20 05:02:00+00,370267.34
100057,2020-02-20 05:01:46+00,370267.34
100057,2020-02-20 05:01:31+00,370267.34
100057,2020-02-20 05:01:17+00,370267.34
100057,2020-02-20 05:01:03+00,370267.34
100057,2020-02-20 05:00:49+00,370267.34
100057,2020-02-20 05:00:35+00,370267.22
100057,2020-02-20 05:00:21+00,370267.06
100057,2020-02-20 05:00:07+00,370267.06
100057,2020-02-20 04:59:54+00,370267.06
100057,2020-02-20 04:59:39+00,370267.06
100057,2020-02-20 04:59:25+00,370267.06
100057,2020-02-20 04:59:13+00,370266.6
100057,2020-02-20 04:59:00+00,370266.6
100057,2020-02-20 04:58:46+00,370265.72
100057,2020-02-20 04:58:32+00,370265.72
100057,2020-02-20 04:58:19+00,370265.72
100057,2020-02-20 04:58:05+00,370265.72
100057,2020-02-20 04:57:51+00,370265.72
100057,2020-02-20 04:57:37+00,370265.38
100057,2020-02-20 04:57:23+00,370264.63
100057,2020-02-20 04:57:10+00,370263.7
100057,2020-02-20 04:56:55+00,370244.5
100057,2020-02-20 04:56:41+00,370215.6
100057,2020-02-20 04:56:26+00,370107.94
100057,2020-02-20 04:56:11+00,369963.4
100057,2020-02-20 04:55:57+00,369858.78
100057,2020-02-20 04:55:44+00,369767.94
100057,2020-02-20 04:55:31+00,369586.5
100057,2020-02-20 04:55:16+00,369400.3
100057,2020-02-20 04:55:03+00,369296.1
100057,2020-02-20 04:54:51+00,369225.7
100057,2020-02-20 04:54:38+00,369117.8
100057,2020-02-20 04:54:24+00,368906.63
100057,2020-02-20 04:54:12+00,368745.78
100057,2020-02-20 04:53:58+00,368585.56
100057,2020-02-20 04:53:46+00,368513.44
100057,2020-02-20 04:53:33+00,368475.5
100057,2020-02-20 04:51:03+00,368475.5
100057,2020-02-20 04:50:50+00,368475.5
100057,2020-02-20 04:50:36+00,368475.5
100057,2020-02-20 04:50:21+00,368475.5
100057,2020-02-20 04:50:07+00,368475.5
100057,2020-02-20 04:49:53+00,368475.5
100057,2020-02-20 04:49:40+00,368475.5
100057,2020-02-20 04:49:25+00,368475.5
100057,2020-02-20 04:49:11+00,368475.5
100057,2020-02-20 04:48:58+00,368475.5
100057,2020-02-20 04:48:43+00,368475.5
100057,2020-02-20 04:48:29+00,368475.5
100057,2020-02-20 04:48:16+00,368475.5
100057,2020-02-20 04:48:01+00,368475.5
100057,2020-02-20 04:47:48+00,368475.5
100057,2020-02-20 04:47:35+00,368475.5
100057,2020-02-20 04:47:20+00,368475.5
100057,2020-02-20 04:47:06+00,368475.5
100057,2020-02-20 04:46:51+00,368475.5
100057,2020-02-20 04:46:36+00,368475.5
100057,2020-02-20 04:46:22+00,368475.5
100057,2020-02-20 04:46:09+00,368475.5
100057,2020-02-20 04:45:55+00,368475.5
100057,2020-02-20 04:45:42+00,368475.5
100057,2020-02-20 04:45:28+00,368475.5
100057,2020-02-20 04:45:14+00,368475.5
100057,2020-02-20 04:44:59+00,368475.5
100057,2020-02-20 04:44:43+00,368475.5
100057,2020-02-20 04:44:29+00,368475.5
100057,2020-02-20 04:44:16+00,368475.5
100057,2020-02-20 04:44:01+00,368475.5
100057,2020-02-20 04:43:47+00,368475.5
100057,2020-02-20 04:43:33+00,368475.5
100057,2020-02-20 04:43:18+00,368475.5
100057,2020-02-20 04:43:04+00,368475.5
100057,2020-02-20 04:42:50+00,368475.5
100057,2020-02-20 04:42:36+00,368475.5
100057,2020-02-20 04:42:22+00,368475.5
100057,2020-02-20 04:42:06+00,368475.5
100057,2020-02-20 04:41:52+00,368475.5
100057,2020-02-20 04:41:38+00,368474.34
100057,2020-02-20 04:41:26+00,368474.34
100057,2020-02-20 04:41:13+00,368473.63
100057,2020-02-20 04:40:59+00,368473.63
100057,2020-02-20 04:40:46+00,368464.28
100057,2020-02-20 04:00:06+00,359466.9
100057,2020-02-20 03:59:52+00,359466.9
100057,2020-02-20 03:59:37+00,359466.9
100057,2020-02-20 03:59:23+00,359466.9
100057,2020-02-20 03:59:09+00,359466.9
100057,2020-02-20 03:58:55+00,359466.9
100057,2020-02-20 03:58:41+00,359466.9
100057,2020-02-20 03:58:26+00,359466.84
100057,2020-02-20 03:58:13+00,359423.3
100057,2020-02-20 03:57:59+00,359356.8
100057,2020-02-20 03:57:46+00,359322.53
100057,2020-02-20 03:57:32+00,359318.28
100057,2020-02-20 03:57:19+00,359242.44
100057,2020-02-20 03:57:04+00,359149.03
